ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Status,Application_Note,TotalIncome,LoanIncomeRatio,HasCreditHistory,Note_Length,Risk_Keyword_Flag,Gender_Male,Education_Not Graduate,Employment_Type_Self_Employed,Property_Area_Semiurban,Property_Area_Urban,IncomeLevel_Medium,IncomeLevel_High,IncomeLevel_Very High
1969,0.0,247.0,N,Urgent medical expenses covered by loan. Facing some financial stress currently.,1969.0,0.1253807106598984,0,80,1,True,False,False,False,False,False,False,False
1544,0.0,268.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,1544.0,0.173462783171521,1,71,1,True,True,False,True,False,False,False,False
388,345.68207931,121.0,Y,Buying a new car for daily commute. I might struggle slightly initially.,733.6820793100001,0.1646970892683825,1,72,1,True,False,False,True,False,False,False,False
150,145.88032624,216.0,Y,I need to renovate my house immediately. Facing some financial stress currently.,295.88032624,0.7275658940949297,1,80,0,True,True,True,True,False,False,False,False
1691,32.04709092,103.0,N,Planning to expand my small business operations. Facing some financial stress currently.,1723.04709092,0.0597431477031386,1,88,0,False,False,True,False,False,False,False,False
3450,7.13614484,174.0,Y,Planning to expand my small business operations. I am very confident in repayment.,3457.13614484,0.0503161219547793,1,82,0,True,False,False,False,False,True,False,False
1271,0.0,249.0,N,Buying a new car for daily commute. I am very confident in repayment.,1271.0,0.1957547169811321,1,69,0,True,False,False,True,False,False,False,False
150,0.0,264.0,Y,Investment in a new startup opportunity. I am very confident in repayment.,150.0,1.7483443708609272,1,74,0,True,False,False,True,False,False,False,False
3217,0.0,154.0,Y,I need to renovate my house immediately. I am very confident in repayment.,3217.0,0.0478558110627719,0,74,0,False,False,False,False,False,True,False,False
5081,0.0,217.0,N,Urgent medical expenses covered by loan. I might struggle slightly initially.,5081.0,0.0426997245179063,1,77,1,True,False,False,True,False,False,True,False
269,0.0,185.0,Y,Urgent medical expenses covered by loan. Business is booming right now.,269.0,0.6851851851851852,1,71,1,True,False,False,False,False,False,False,False
5387,0.0,169.0,N,Planning to expand my small business operations. I might struggle slightly initially.,5387.0,0.031365998515219,1,85,1,True,False,False,False,True,False,True,False
